단위사업소분류명,n,실측_평균,예측_평균,MAE,MedianAE,±7일_적중률(%),±14일_적중률(%)
전기용품안전인증 인증서 발급,7499.0,27.96,12.79,22.3,9.03,33.6,71.24
전기용품안전인증 전기안전시험,6058.0,32.8,14.76,25.96,10.62,31.31,67.43
CB 인증서발급,821.0,46.29,25.22,29.56,14.9,25.21,47.14
CB 전기안전시험,805.0,43.42,25.29,28.77,15.57,23.48,45.96
역학시험,654.0,9.57,6.17,5.44,3.28,81.5,92.51
형식승인,604.0,34.88,9.44,31.58,15.56,23.18,45.7
전기용품안전인증 최초 공장심사,602.0,28.37,14.82,23.75,11.94,24.92,60.47
전기용품안전인증 사후관리 전기안전시험,594.0,138.4,42.69,101.34,80.8,10.61,16.16
전기용품안전인증 사후관리 결과서 발급,523.0,134.99,43.33,98.11,71.67,11.28,17.4
고분자시험,311.0,18.48,12.6,9.58,9.69,32.8,77.17
방수방진 및 내충격(IK)시험,287.0,9.3,9.36,4.3,2.72,84.67,96.52
일반화학시험 분석,197.0,12.11,10.08,5.29,4.46,78.17,96.95
에너지소비효율시험,165.0,54.05,25.14,37.89,18.87,18.18,33.33
소음진동,161.0,14.46,12.43,5.93,3.51,77.02,90.68
전기용품안전인증 미승인부품 전기안전시험,135.0,85.89,37.82,58.06,36.53,11.11,25.93
금속시험,124.0,12.1,9.15,7.73,5.06,65.32,86.29
전기안전시험(CE마크|| PSE마크 등등),93.0,19.45,17.34,8.38,5.72,55.91,89.25
고효율기기효율등급시험,81.0,44.06,20.99,30.07,13.22,25.93,51.85
공산품안전인증서발급,72.0,28.35,20.6,25.08,12.52,11.11,58.33
일반시험,69.0,22.35,9.08,16.52,8.29,44.93,68.12
조달청 조달검사를 통한 시험(2억이상 품목 검사시험),61.0,8.57,4.49,4.54,3.99,81.97,100.0
방폭기기 안전인증(KCs) 시험 최초/사후,59.0,40.92,38.69,13.9,13.14,25.42,61.02
기계부품,55.0,22.47,20.83,15.81,11.89,29.09,63.64
무기재료시험,48.0,16.31,8.71,11.08,10.14,29.17,64.58
유해물질 분석,43.0,13.05,10.4,7.42,5.33,62.79,95.35
전자파시험(CE마크|| PSE마크 등등),41.0,13.63,16.01,4.69,4.3,82.93,97.56
전기안전시험(공산품),37.0,50.46,29.76,32.91,13.65,27.03,51.35
열유체일반,24.0,17.71,9.71,11.68,4.31,66.67,70.83
CB 전자파시험,17.0,67.76,23.87,48.9,40.11,23.53,29.41
전기전자부품제품 신뢰성시험,10.0,7.3,11.97,8.74,9.69,30.0,90.0
항공소재,9.0,16.78,11.79,11.94,10.43,33.33,77.78
S/W시험,5.0,20.6,16.16,9.44,9.07,40.0,80.0
우주기술,5.0,5.4,15.52,11.76,12.83,20.0,80.0
조달청 조달등록 시험,4.0,10.0,8.25,6.74,5.97,50.0,100.0
해외인증대행,3.0,60.67,20.92,39.75,31.12,33.33,33.33
디지털산업 일반시험,2.0,64.5,9.8,54.7,54.7,0.0,0.0
방폭기술지원,2.0,70.0,13.44,69.92,69.92,0.0,50.0
국방기기 신뢰성시험,2.0,0.5,13.22,12.72,12.72,0.0,100.0
자동차부품 신뢰성시험,1.0,4.0,15.84,11.84,11.84,0.0,100.0
S/W 엔지니어링,1.0,13.0,13.78,0.78,0.78,100.0,100.0
전기용품안전인증 전자파시험,1.0,13.0,12.73,0.27,0.27,100.0,100.0
공장심사(K마크),1.0,48.0,35.18,12.82,12.82,0.0,100.0
전자파 일반시험,1.0,32.0,13.04,18.96,18.96,0.0,0.0
GS인증(평가및인증),0.0,,,,,,
전기용품안전인증 사후관리 공장심사,0.0,,,,,,
전기용품안전인증 확인서발급,0.0,,,,,,
의료기기의 신뢰성시험,0.0,,,,,,
전기안전시험(K마크선택시험),0.0,,,,,,
전자파시험(KAS),0.0,,,,,,
제어설비 신뢰성평가,0.0,,,,,,
철도부품,0.0,,,,,,
재료성능시험,0.0,,,,,,
컨설팅,0.0,,,,,,
통계해석 신뢰성 시험,0.0,,,,,,
한전시험,0.0,,,,,,
항공시스템검증,0.0,,,,,,
역학(KTL시험),0.0,,,,,,
의뢰자요구시험(일반),0.0,,,,,,
방화시험,0.0,,,,,,
국산의료기기 변경GMP,0.0,,,,,,
국산의료기기 정기GMP,0.0,,,,,,
국산의료기기 최초GMP,0.0,,,,,,
국산의료기기 추가GMP,0.0,,,,,,
기타 정부납품시험,0.0,,,,,,
기타 화학조성,0.0,,,,,,
기타(적합인증서 대체발급|| 사전서류심사|| 부본발급),0.0,,,,,,
내지진,0.0,,,,,,
로봇,0.0,,,,,,
밧데리 시험,0.0,,,,,,
방폭기기 안전인증(KCs) 최초 서면심사,0.0,,,,,,
방폭기기 안전인증(KCs) 최초 인증서발급,0.0,,,,,,
방폭기기 안전인증(KCs) 최초 제품심사(제품시험),0.0,,,,,,
선박용기기의 신뢰성시험,0.0,,,,,,
원자력기기검증,0.0,,,,,,
성능시험(K마크),0.0,,,,,,
수입의료기기 변경GMP,0.0,,,,,,
수입의료기기 정기GMP,0.0,,,,,,
수입의료기기 최초GMP,0.0,,,,,,
승강기 안전인증 최초/사후,0.0,,,,,,
승강기안전시험(공산품),0.0,,,,,,
승강기안전인증최초/사후,0.0,,,,,,
승강기안전인증최초인증서발급,0.0,,,,,,
KTL마크인증 SW평가 및 인증,0.0,,,,,,
어린이제품 안전시험검사,0.0,,,,,,
ISO 경영시스템인증,0.0,,,,,,
열유체시험,0.0,,,,,,
오차/절연시험(규격),0.0,,,,,,
시스템의 신뢰성시험,0.0,,,,,,
